训练开始时间: Thu Aug 28 02:44:37 UTC 2025
Wandb离线模式已启用，日志将保存在: wandb_offline_logs/fragldm_base_20250828_024437
wandb: WARNING Path wandb_offline_logs/fragldm_base_20250828_024437/wandb/ wasn't writable, using system temp directory.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.7
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: WARNING Symlinked 3 files into the W&B run directory, call wandb.save again to sync new files.
Entropy of n_nodes: H[N] -2.475700616836548
Autoencoder models are _not_ conditioned on time.
alphas2 [9.99990000e-01 9.99988000e-01 9.99982000e-01 ... 2.59676966e-05
 1.39959211e-05 1.00039959e-05]
gamma [-11.51291546 -11.33059532 -10.92513058 ...  10.55863126  11.17673063
  11.51251595]

==================================================
训练配置:
- 模型: egnn_dynamics
- 数据集: qm9
- 条件: 无
- 部分条件化: 已启用
  - 噪声比例: 0.8
  - 掩码策略: connected
==================================================

Epoch: 0, iter: 87/12500, Loss 2.93, NLL: 2.93, RegTerm: 0.0, GradNorm: 4.5 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 88/12500, Loss 2.54, NLL: 2.54, RegTerm: 0.0, GradNorm: 5.2 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 89/12500, Loss 2.59, NLL: 2.59, RegTerm: 0.0, GradNorm: 8.7 | Cond: 0.24, Noise: 0.76
Epoch: 0, iter: 90/12500, Loss 2.72, NLL: 2.72, RegTerm: 0.0, GradNorm: 3.8 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 91/12500, Loss 3.18, NLL: 3.18, RegTerm: 0.0, GradNorm: 17.1 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 92/12500, Loss 2.90, NLL: 2.90, RegTerm: 0.0, GradNorm: 3.6 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 93/12500, Loss 2.41, NLL: 2.41, RegTerm: 0.0, GradNorm: 2.8 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 94/12500, Loss 2.79, NLL: 2.79, RegTerm: 0.0, GradNorm: 2.7 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 95/12500, Loss 2.56, NLL: 2.56, RegTerm: 0.0, GradNorm: 7.2 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 96/12500, Loss 3.20, NLL: 3.20, RegTerm: 0.0, GradNorm: 4.7 | Cond: 0.24, Noise: 0.76
Epoch: 0, iter: 97/12500, Loss 2.45, NLL: 2.45, RegTerm: 0.0, GradNorm: 3.6 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 98/12500, Loss 2.63, NLL: 2.63, RegTerm: 0.0, GradNorm: 15.2 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 99/12500, Loss 2.76, NLL: 2.76, RegTerm: 0.0, GradNorm: 4.6 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 100/12500, Loss 2.44, NLL: 2.44, RegTerm: 0.0, GradNorm: 3.3 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 101/12500, Loss 2.62, NLL: 2.62, RegTerm: 0.0, GradNorm: 5.4 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 102/12500, Loss 2.79, NLL: 2.79, RegTerm: 0.0, GradNorm: 4.8 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 103/12500, Loss 2.81, NLL: 2.81, RegTerm: 0.0, GradNorm: 4.2 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 104/12500, Loss 2.84, NLL: 2.84, RegTerm: 0.0, GradNorm: 4.2 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 105/12500, Loss 2.60, NLL: 2.60, RegTerm: 0.0, GradNorm: 2.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 106/12500, Loss 2.76, NLL: 2.76, RegTerm: 0.0, GradNorm: 4.8 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 107/12500, Loss 2.73, NLL: 2.73, RegTerm: 0.0, GradNorm: 8.6 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 108/12500, Loss 2.42, NLL: 2.42, RegTerm: 0.0, GradNorm: 4.1 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 109/12500, Loss 2.70, NLL: 2.70, RegTerm: 0.0, GradNorm: 2.7 | Cond: 0.22, Noise: 0.78
Clipped gradient with value 35.1 while allowed 20.4
Epoch: 0, iter: 110/12500, Loss 2.82, NLL: 2.82, RegTerm: 0.0, GradNorm: 35.1 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 111/12500, Loss 2.85, NLL: 2.85, RegTerm: 0.0, GradNorm: 3.7 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 112/12500, Loss 2.69, NLL: 2.69, RegTerm: 0.0, GradNorm: 3.8 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 113/12500, Loss 2.74, NLL: 2.74, RegTerm: 0.0, GradNorm: 2.9 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 114/12500, Loss 2.68, NLL: 2.68, RegTerm: 0.0, GradNorm: 3.4 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 115/12500, Loss 2.82, NLL: 2.82, RegTerm: 0.0, GradNorm: 12.8 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 116/12500, Loss 2.66, NLL: 2.66, RegTerm: 0.0, GradNorm: 2.5 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 117/12500, Loss 3.09, NLL: 3.09, RegTerm: 0.0, GradNorm: 2.6 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 118/12500, Loss 2.75, NLL: 2.75, RegTerm: 0.0, GradNorm: 3.8 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 119/12500, Loss 3.05, NLL: 3.05, RegTerm: 0.0, GradNorm: 5.9 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 120/12500, Loss 2.89, NLL: 2.89, RegTerm: 0.0, GradNorm: 5.8 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 121/12500, Loss 3.15, NLL: 3.15, RegTerm: 0.0, GradNorm: 11.2 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 122/12500, Loss 2.66, NLL: 2.66, RegTerm: 0.0, GradNorm: 1.6 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 123/12500, Loss 2.86, NLL: 2.86, RegTerm: 0.0, GradNorm: 3.2 | Cond: 0.22, Noise: 0.78
